epoch,participant,source,found,missed,invalid,cost,required_validations,completed_validations,escrow_count,raw_file
281,gonka19u92d2744vrmjg2y8wpeguz48vv52damsc5uv5,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka19u92d2744vrmjg2y8wpeguz48vv52damsc5uv5.json
281,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj.json
281,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n.json
281,gonka1ce0j6ez5m2kj6c2cu62mkva72jj7emr3vjtgjy,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1ce0j6ez5m2kj6c2cu62mkva72jj7emr3vjtgjy.json
281,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww.json
281,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0.json
281,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p.json
281,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp.json
281,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll.json
281,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e.json
281,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p.json
281,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr.json
281,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5.json
